"c_name","source","r_id","r_year","r_month","r_female","p_interest","p_economy","Econ_Dem","Dec_Dem","Eff_Dem","Comp_Dem"
"Tunisia","Arab Barometer Wave VII",211918,2021,10,0,"Very uninterested","Bad","Strongly agree","Strongly disagree","Disagree","Agree"
"Tunisia","Arab Barometer Wave VII",211919,2021,10,0,"Very interested","Very bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211920,2021,10,1,"Uninterested","Good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211921,2021,10,0,"Very uninterested","Good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211922,2021,10,0,"Uninterested","Good","Agree","Strongly agree","Disagree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211923,2021,10,0,"Uninterested","Good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211924,2021,10,1,"Very uninterested","Good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211925,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211926,2021,10,1,"Interested","Bad","Disagree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211927,2021,10,0,"Very uninterested","Good","Agree","Strongly agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211928,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211929,2021,10,1,"Very uninterested","Very bad","Disagree","Strongly agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211930,2021,10,1,"Uninterested","Good","Strongly disagree","Disagree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211931,2021,10,1,"Very uninterested","Very bad","Agree","Disagree","Disagree","Agree"
"Tunisia","Arab Barometer Wave VII",211932,2021,11,1,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211933,2021,11,1,"Very uninterested","Bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211934,2021,11,1,"Very uninterested","Very bad",NA,NA,NA,"Agree"
"Tunisia","Arab Barometer Wave VII",211935,2021,10,0,"Uninterested","Very bad","Agree","Disagree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211936,2021,10,1,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211937,2021,10,0,"Interested","Bad","Strongly agree","Agree",NA,"Agree"
"Tunisia","Arab Barometer Wave VII",211938,2021,10,0,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211939,2021,11,1,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211940,2021,10,1,"Uninterested","Bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211941,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211942,2021,10,1,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211943,2021,10,1,"Very uninterested","Very bad",NA,"Strongly agree","Agree",NA
"Tunisia","Arab Barometer Wave VII",211944,2021,10,0,"Uninterested","Bad","Strongly agree","Disagree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211945,2021,10,1,"Very uninterested","Very bad","Strongly agree","Agree","Strongly agree","Agree"
"Tunisia","Arab Barometer Wave VII",211946,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211947,2021,10,1,"Uninterested","Bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211948,2021,10,0,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211949,2021,10,1,"Very uninterested","Very bad","Strongly agree","Strongly agree","Agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211950,2021,11,1,"Interested","Bad","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211951,2021,10,1,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211952,2021,11,0,"Interested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211953,2021,11,0,"Uninterested","Good","Agree","Disagree","Strongly agree","Disagree"
"Tunisia","Arab Barometer Wave VII",211954,2021,11,0,"Uninterested","Very bad","Strongly agree","Strongly agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211955,2021,10,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211956,2021,10,1,"Very uninterested","Very bad","Strongly agree","Strongly agree",NA,"Disagree"
"Tunisia","Arab Barometer Wave VII",211957,2021,10,0,"Very uninterested","Very bad","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree"
"Tunisia","Arab Barometer Wave VII",211958,2021,10,0,"Uninterested","Very bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211959,2021,10,0,"Very interested","Very good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211960,2021,10,0,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211961,2021,10,1,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211962,2021,10,1,"Interested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211963,2021,10,1,"Very uninterested","Good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211964,2021,11,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211965,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211966,2021,10,0,"Very uninterested","Very bad","Strongly agree","Strongly agree","Strongly agree","Disagree"
"Tunisia","Arab Barometer Wave VII",211967,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211968,2021,10,0,"Very uninterested","Very bad","Strongly agree","Agree","Disagree","Agree"
"Tunisia","Arab Barometer Wave VII",211969,2021,10,1,"Uninterested","Bad","Disagree","Disagree","Agree","Disagree"
"Tunisia","Arab Barometer Wave VII",211970,2021,11,1,"Very interested","Very bad","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211971,2021,11,1,"Very interested","Very bad",NA,NA,NA,NA
